family,m,cond
poly,2,11.591553457059497
poly,4,1210.3830070574347
poly,6,187488.94022195347
poly,8,67217446.673539057
poly,10,34546585438.876511
clamped,4,5.0520185877149446
clamped,6,6.4783354932793644
clamped,8,6.507672636371483
clamped,10,6.7511816018196136
legacy,4,40.261260749818618
legacy,6,99.400446337147514
legacy,8,203.5655171229036
legacy,10,409.47213928898049
