N,variant,iters,rel_err,min_eig,nInc
14,poly6,1829,0.57971851793279638,3.959471071547823,43
14,bs4,1006,0.27115904773085081,1.5118391044497104,0
14,bs6,1850,0.5475795897716742,3.4696889423854986,0
14,bs4old,1136,0.50881764116210793,3.0521669401248102,84
15,poly4,974,0.35052226763666744,2.0424555563227966,237
15,poly6,1558,0.65375202995039416,4.5446045611115977,325
15,bs4,899,0.2259653255705184,1.4321164654759888,0
15,bs6,1581,0.60276570896169968,3.9646674782298605,0
15,bs4old,954,0.53381774091881373,3.2533425702711511,0
16,poly4,955,0.33388550554420154,1.9542304140868214,187
16,poly6,1798,0.57200339787103927,3.4479240440680088,328
16,bs4,908,0.22083983464650672,1.3925093509436064,0
16,bs6,1569,0.53314998126349455,3.4181045421048268,0
16,bs4old,957,0.50505146279126256,3.0875018448479197,0
17,poly4,976,0.31347587246570063,1.8280218465820655,122
17,poly6,1647,0.57360305803807354,3.4840069338780597,340
17,bs4,910,0.21085066288130022,1.2981896671223498,0
17,bs6,1531,0.57412629710854923,3.6555256783349948,0
17,bs4old,948,0.51400304346468562,3.1134326071860494,0
18,poly4,959,0.29957526081466962,1.6830670113027957,0
18,poly6,1692,0.50847444559020893,3.0238666224012145,298
18,bs4,911,0.21707981286448352,1.2089573181018987,0
18,bs6,1574,0.51299882256933327,3.2026446140937095,0
18,bs4old,951,0.46785057963981203,2.8101240409522852,0
19,poly4,976,0.32359085074796656,1.8083348170784099,228
19,poly6,1546,0.41516659917601384,2.4955004374045635,147
19,bs4,915,0.22123019692823617,1.2585047740753474,0
19,bs6,1723,0.41842663275004033,2.6147502444908763,0
19,bs4old,955,0.43340798293590327,2.6304234226608725,0
20,poly4,969,0.32104933240706773,1.7066609899845973,183
20,poly6,1508,0.40582502847101848,2.4964088451702455,0
20,bs4,915,0.23132575570931069,1.1675697788001778,0
20,bs6,1523,0.41147772921049292,2.4930287320959548,0
20,bs4old,945,0.42523635074743726,2.512980078519333,0
20,ccp_poly4,24,37.086181089499888,29.375880390983934,0.47112503698512276
20,ccp_bs4,18,33.587563440301707,29.605400483635513,0.54470461776464041
21,poly4,988,0.2315652342359919,1.5722999017326666,286
21,poly6,1598,0.34874866105157565,2.5719303875167108,295
21,bs4,912,0.21682375381579522,1.3901546666402185,0
21,bs6,1745,0.33234793750056602,2.3025667955885663,0
21,bs4old,959,0.31083170606505822,2.0900925252966949,329
22,poly4,965,0.20169700639523039,1.3789193992104032,308
22,poly6,1587,0.33457888006113784,2.4987972767098814,303
22,bs4,909,0.19841462420259362,1.2675799087265018,0
22,bs6,1692,0.31388744114469269,2.1813293393741633,0
22,bs4old,949,0.27184672058179393,1.8277697880526522,323
23,poly4,951,0.20477531539162824,1.3752092931567108,451
23,poly6,1590,0.42526361114243699,3.2276745892022056,304
23,bs4,906,0.21503719339808317,1.3213754274223297,0
23,bs6,1672,0.38686168886558003,2.6518928511318829,0
23,bs4old,935,0.28291216058521168,1.867706260154298,354
24,poly4,960,0.21471997179843627,1.3445504056491144,461
24,poly6,1591,0.41586098722178455,3.084433815864438,315
24,bs4,895,0.22548123742760409,1.2958192907403339,0
24,bs6,1680,0.38402518487486675,2.5673207689127366,0
24,bs4old,914,0.28738480506175418,1.8231768500922423,365
25,poly4,983,0.26027063745271489,1.4931892348075004,188
25,poly6,1682,0.38567912889956679,2.7309603851855009,249
25,bs4,919,0.22801109079832702,1.2209553032448461,0
25,bs6,1562,0.35180356075002567,2.2427299094773021,0
25,bs4old,963,0.33822014316279286,2.0556828337076416,208
26,poly4,989,0.32377450401287966,1.7469223359797108,314
26,poly6,1584,0.34287859671366,1.9645163052443295,323
26,bs4,1018,0.2304531963758974,1.2634120953602257,0
26,bs6,1708,0.3528193471707371,2.0954047145985548,0
26,bs4old,957,0.3773961661145544,2.2741082447442418,369
27,poly4,990,0.32167453993980416,1.7263050864660303,327
27,poly6,1712,0.34336402608177108,1.9225158835170872,327
27,bs4,1045,0.23050334945151252,1.2588829117321263,0
27,bs6,1666,0.35095592047943158,2.077856036561101,0
27,bs4old,958,0.36980322113809633,2.2184182212032053,383
28,poly4,986,0.30585797326305059,1.6724914482757558,350
28,poly6,1654,0.30841985571728553,1.7263774681624915,340
28,bs4,1030,0.22986060959189672,1.2806995782756239,0
28,bs6,1711,0.3036110456218854,1.7844174797963837,0
28,bs4old,956,0.34192767570469229,2.0723595384833842,408
29,poly4,967,0.30507994313843739,1.6464969737207584,418
29,poly6,1613,0.28982502018306266,1.3052169855636313,355
29,bs4,1028,0.23648607131369948,1.3063272592022124,0
29,bs6,1803,0.2777267217408721,1.5977582616207178,0
29,bs4old,952,0.32614491185360356,1.9410934254533416,438
30,poly4,964,0.30719012741977347,1.585433495789494,421
30,poly6,1609,0.29630750765857172,1.3026349179878114,355
30,bs4,1048,0.2464048598818962,1.267613960121571,0
30,bs6,1815,0.28198301915801899,1.5336618169663312,0
30,bs4old,924,0.32405117642181419,1.8574736088454582,438
31,poly4,918,0.23501891901340574,1.2429248171383829,0
31,poly6,1752,0.22696087911426852,0.68827334045000776,211
31,bs4,843,0.22828194276386829,1.0989496279395408,0
31,bs6,1763,0.21650235566766274,0.93418287661530885,0
31,bs4old,1072,0.29715703724742593,1.7082772470496663,170
32,poly4,974,0.2540828970067226,1.5014219629423577,237
32,poly6,1838,0.21391008949974608,2.1612878174831052e-12,369
32,bs4,907,0.22952807758573759,1.2694541325737168,0
32,bs6,1662,0.20818845333841773,1.1050037373226478,0
32,bs4old,933,0.30391078579318337,1.9012539832787352,328
33,poly4,948,0.25003778686537587,1.5138596434487903,293
33,poly6,1737,0.20360509267730509,9.4533275004835083e-12,376
33,bs4,890,0.22926903701505849,1.3026690177130262,0
33,bs6,1688,0.24474689901792496,1.4246700872501814,0
33,bs4old,921,0.33093445974245284,2.0832708986070707,342
34,poly4,939,0.36656749031958369,1.5819090797834574,232
34,poly6,1555,0.3229452840349516,2.4545241821051353e-08,321
34,bs4,919,0.29564897436662996,1.1847189672054201,0
34,bs6,1719,0.31732737776552272,1.3108971830864036,0
34,bs4old,938,0.36304715766008228,1.8738026038315556,321
35,poly4,962,0.29537747810105491,1.2957131763232557,0
35,poly6,1488,0.2706683668091896,0.16319273595205519,299
35,bs4,860,0.28610929587987244,1.1368979155632157,0
35,bs6,1634,0.25673035235329578,0.34744346313324592,0
35,bs4old,937,0.30579660729630553,1.4251381810167456,319
36,poly4,969,0.28516053107334316,1.3354937573950068,134
36,poly6,1478,0.26634216598476834,0.6419360141169419,305
36,bs4,860,0.27418703422947993,1.1704067981174398,0
36,bs6,1697,0.24675489315825197,0.57352268506382242,0
36,bs4old,959,0.30057100946376841,1.5038339644907819,339
37,poly4,946,0.25996129557952502,1.2813777023449973,390
37,poly6,1484,0.23531293964573355,0.66122078344397006,321
37,bs4,894,0.26117743588360648,1.1836466695000829,0
37,bs6,1650,0.22261594220588884,0.56331478733135276,0
37,bs4old,949,0.2768574874293655,1.466341057152539,381
38,poly4,956,0.26233132409236071,1.4743886241981543,475
38,poly6,1524,0.26750058417208755,1.0331570401453132,335
38,bs4,1012,0.26303435555946736,1.3704152279938664,0
38,bs6,1793,0.2401210107016982,1.1909200223514589,0
38,bs4old,943,0.27986717801360655,1.6492467052215833,415
39,poly4,958,0.28510861410195959,1.5352584667774762,450
39,poly6,1577,0.26617685973676414,0.94065141524566465,345
39,bs4,1023,0.26484545212005739,1.3600819357198637,0
39,bs6,1803,0.27290819780779074,1.4214088291159912,0
39,bs4old,951,0.29942293734025405,1.7223030417388365,425
40,poly4,951,0.27799877047948768,1.5052320000689181,449
40,poly6,1529,0.2566491440330807,0.88880859153371461,347
40,bs4,1029,0.25439388075371283,1.3356935446177443,0
40,bs6,1799,0.26831568265805128,1.4369686876957006,0
40,bs4old,916,0.2907118227556445,1.6865656195086272,426
41,poly4,954,0.28098537440179211,1.6115918434838794,504
41,poly6,1591,0.27204705112130917,0.94167224384213533,351
41,bs4,1041,0.24146105313771901,1.4079798934598919,0
41,bs6,1799,0.27639406755129864,1.6476353754204471,0
41,bs4old,922,0.28535969348891727,1.7377879993349463,441
42,poly4,941,0.26992761893262063,1.5860131054753053,520
42,poly6,1912,0.24803651451036468,0.87290498629631097,360
42,bs4,1045,0.23315396182569331,1.4171438949609632,0
42,bs6,1809,0.27240191808399017,1.6780842782490384,0
42,bs4old,939,0.27659192748262834,1.7106912345564711,447
43,poly4,976,0.27672084015819615,1.6359350239087953,448
43,poly6,1542,0.27219335500364034,1.5446442870039241,349
43,bs4,1030,0.23935291923562649,1.4094989166132119,0
43,bs6,1807,0.27307001448676965,1.6387205600394856,0
43,bs4old,934,0.29117500793056972,1.8226750929505964,428
44,poly4,950,0.26481742683359111,1.6383674004211475,505
44,poly6,1662,0.31417553453190866,1.9687811711532439,339
44,bs4,1014,0.24307482241688516,1.4755387692046587,0
44,bs6,1787,0.27022665971473786,1.6593710890026232,0
44,bs4old,914,0.29113570398433741,1.8744773082894,425
45,poly4,980,0.25415633150973532,1.6030398860594148,502
45,poly6,1650,0.30060320987692968,1.8857526802537898,340
45,bs4,1044,0.23617289513630074,1.4559149086872334,0
45,bs6,1774,0.25100126286570767,1.5550446807976992,0
45,bs4old,904,0.27865146867407797,1.8227895222576465,424
46,poly4,964,0.16278117706722295,0.93458666585565464,403
46,poly6,1592,0.24069638383853761,0.64407518292354382,340
46,bs4,909,0.19945548479796049,1.2198835380593747,0
46,bs6,1631,0.1135428632836671,0.0085964103007473598,0
46,bs4old,909,0.15037806906465451,0.77398664285323493,413
47,poly4,947,0.20594076176335094,1.3901734327528745,448
47,poly6,1684,0.30271840114336834,1.4793181311946257,336
47,bs4,905,0.23745709273326124,1.4520753755665379,0
47,bs6,1758,0.18132761813644427,1.0219612988077078,0
47,bs4old,895,0.21830509827616726,1.4778622578598459,418
48,poly4,1077,0.16688440856294354,1.1760650130180892,423
48,poly6,1867,0.25694401777199527,0.88691824248433826,340
48,bs4,898,0.21941934670540922,1.3974744216744541,0
48,bs6,2000,0.085356853009134759,0.059879037830622941,0
48,bs4old,920,0.17314125127428531,1.2108971608246824,413
49,poly4,914,0.20428600778423006,1.2489500341048814,443
49,poly6,1623,0.17052646845541869,4.4021516444739359e-11,384
49,bs4,986,0.26700489328851496,1.5651833520795493,0
49,bs6,1810,0.11637885232449316,0.3059196643652779,0
49,bs4old,887,0.17888075443687051,0.91432124002896531,441
50,poly4,920,0.20006088762084123,1.266049706472451,445
50,poly6,1764,0.16407989404687312,1.4081082555234967e-11,381
50,bs4,1003,0.26017122995083347,1.5512684277679123,0
50,bs6,1795,0.11308763063238031,0.39726099697683093,0
50,bs4old,873,0.17226848875915751,0.92570843156810612,440
50,ccp_poly4,19,34.839668228697313,30.254497855988756,0.49737235581257261
50,ccp_bs4,16,36.898892762598614,30.691178097409367,0.57754925550676994
