variant,iters,rel_err,min_eig,nInc
poly4,955,0.12638843039584371,0.9799290169361955,286
poly6,1747,0.026851023586364833,0.14571786636115763,184
bs4,954,0.13872544095074699,1.089237514915812,0
bs6,1742,0.030702233466109632,0.093600941777796098,0
bs4old,907,0.12546922039098973,0.89229092600502757,318
